Customer ID,Recency,Frequency,Monetary,FutureRevenue,FutureRevenue_Log,AvgOrderValue,TenureDays,PurchaseRate,RecencyRatio
12347.0,21,5,3529.27,2104.05,7.652094498803506,705.854,242,0.02066115702479339,0.08677685950413223
12348.0,86,4,1709.4,310.0,5.739792912179234,427.35,276,0.014492753623188406,0.3115942028985507
12349.0,245,4,2646.99,1757.55,7.472244884833674,661.7475,573,0.006980802792321117,0.42757417102966844
12350.0,148,1,334.4,0.0,0.0,334.4,148,0.006756756756756757,1.0
12351.0,213,1,300.93,0.0,0.0,300.93,213,0.004694835680751174,1.0
12352.0,100,10,944.98,944.23,6.851428284123502,94.498,230,0.043478260869565216,0.43478260869565216
12353.0,42,2,406.76,0.0,0.0,203.38,246,0.008130081300813009,0.17073170731707318
12354.0,70,1,1079.4,0.0,0.0,1079.4,70,0.014285714285714285,1.0
12355.0,52,2,947.61,0.0,0.0,473.805,405,0.0049382716049382715,0.12839506172839507
12356.0,83,5,6315.33,58.349999999999994,4.083452121055677,1263.066,262,0.019083969465648856,0.31679389312977096
12357.0,226,2,12079.99,6207.67,8.733701981297274,6039.995,226,0.008849557522123894,1.0
12358.0,213,3,2719.01,1168.06,7.063955286074528,906.3366666666667,569,0.005272407732864675,0.37434094903339193
12359.0,27,12,5929.29,2785.6,7.932577493679491,494.1075,572,0.02097902097902098,0.0472027972027972
12360.0,38,7,2634.41,1578.48,7.364850957927088,376.3442857142857,493,0.014198782961460446,0.07707910750507099
12361.0,125,4,511.25,0.0,0.0,127.8125,520,0.007692307692307693,0.2403846153846154
12362.0,63,4,1099.44,4185.14,8.339534347262733,274.86,576,0.006944444444444444,0.109375
12363.0,80,1,299.1,252.9,5.536940488710632,299.1,80,0.0125,1.0
12365.0,129,3,320.69,0.0,0.0,106.89666666666666,129,0.023255813953488372,1.0
12366.0,471,1,500.24,0.0,0.0,500.24,471,0.0021231422505307855,1.0
12368.0,466,1,917.6999999999999,0.0,0.0,917.6999999999999,466,0.002145922746781116,1.0
12369.0,251,3,1791.15,0.0,0.0,597.0500000000001,479,0.006263048016701462,0.524008350730689
12370.0,112,6,3581.03,739.28,6.6070284930095475,596.8383333333334,506,0.011857707509881422,0.22134387351778656
12371.0,247,3,2179.42,1887.96,7.543781692052325,726.4733333333334,483,0.006211180124223602,0.5113871635610766
12372.0,50,2,914.9200000000001,383.12,5.950955003769772,457.46000000000004,134,0.014925373134328358,0.373134328358209
12373.0,149,3,1127.65,0.0,0.0,375.8833333333334,511,0.005870841487279843,0.29158512720156554
12374.0,259,3,2246.29,742.9300000000001,6.6119469443852195,748.7633333333333,426,0.007042253521126761,0.607981220657277
12376.0,227,2,503.15,0.0,0.0,251.575,255,0.00784313725490196,0.8901960784313725
12377.0,153,4,3426.32,0.0,0.0,856.58,427,0.00936768149882904,0.3583138173302108
12378.0,400,1,1407.7,4008.62,8.29645175271804,1407.7,400,0.0025,1.0
12379.0,8,3,1227.82,390.45,5.969857793353923,409.2733333333333,372,0.008064516129032258,0.021505376344086023
12380.0,23,11,5774.99,2113.01,7.656341896787963,524.9990909090909,500,0.022,0.046
12383.0,22,6,1839.31,0.0,0.0,306.5516666666667,190,0.031578947368421054,0.11578947368421053
12385.0,217,2,1923.4,0.0,0.0,961.7,217,0.009216589861751152,1.0
12386.0,175,2,660.8,0.0,0.0,330.4,204,0.00980392156862745,0.8578431372549019
12387.0,253,1,143.94,0.0,0.0,143.94,253,0.003952569169960474,1.0
12388.0,113,5,1886.7,2014.41,7.608577927628177,377.34000000000003,420,0.011904761904761904,0.26904761904761904
12389.0,240,3,1433.33,0.0,0.0,477.77666666666664,493,0.006085192697768763,0.486815415821501
12391.0,302,6,2286.93,460.89,6.1353267674944725,381.155,500,0.012,0.604
12392.0,429,1,234.75000000000003,0.0,0.0,234.75000000000003,429,0.002331002331002331,1.0
12393.0,83,6,1855.25,521.5,6.258624983838966,309.2083333333333,266,0.022556390977443608,0.31203007518796994
12394.0,55,1,381.08,891.4,6.793914462558377,381.08,55,0.01818181818181818,1.0
12395.0,49,11,3600.56,1446.3600000000001,7.277496486289478,327.32363636363635,440,0.025,0.11136363636363636
12396.0,512,1,931.43,0.0,0.0,931.43,512,0.001953125,1.0
12399.0,21,6,1752.68,209.62,5.350055561952451,292.11333333333334,482,0.012448132780082987,0.043568464730290454
12400.0,252,1,205.25,0.0,0.0,205.25,252,0.003968253968253968,1.0
12401.0,141,1,84.3,0.0,0.0,84.3,141,0.0070921985815602835,1.0
12402.0,161,7,1244.15,0.0,0.0,177.7357142857143,508,0.013779527559055118,0.3169291338582677
12403.0,359,1,591.6600000000001,409.7,6.017863020962513,591.6600000000001,359,0.002785515320334262,1.0
12404.0,520,1,63.24,0.0,0.0,63.24,520,0.0019230769230769232,1.0
12406.0,21,5,4412.71,1659.5,7.414874040816802,882.542,535,0.009345794392523364,0.03925233644859813
